ID,text,label,pred_llm
32533,thinking about way to quit smoking ! I REALLy need to stop and believe I have tried so many time ! !,negative,negative
239249,I been busy a hell I got 2 job right now . And @ da new one I ca n't use my phn,negative,negative
416359,"Well , it wa more of a nervous laugh .... damn , i keep screwing up tonight , huh ?",negative,negative
316927,A bird just flew into my window and now it 's dead on the floor outside,negative,negative
1164494,... I can see and feel your halo all around me ... Proverbs by Beyonce,positive,positive
829912,"Come in France , it 's sunny and warm",positive,positive
24974,I 'm so glad ! I wish I could have made it to CT for the shower,negative,positive
274067,We 've been gazumped on the house . Do n't believe it .,negative,negative
608470,I want to go swimmin but i have no one to go with .,negative,negative
34117,kinda sorta not really awake . And dreading going to work,negative,negative
1455395,I know the sysadmin for the two website . Meerkats get more traffic . They had to upgrade server to cope,positive,positive
3752,"wishing i wa getting $ 900 for free , but noooo ! Mr Rudd want to play mean ! ! !",negative,negative
1392936,"i know , it totally is got health and food on tuesday sadly i know , it a scary thought lol",positive,negative
1071055,Watching SOJH for the first time in 4 year . Some band need to know when to call it quits . JVA up next,positive,negative
470529,is HOLIDAY come faster please,negative,positive
901687,"please dont change anything in your site . I love it .. will always love it even if .. so , please ? pretty please ?",positive,positive
980254,"I love how when i finally got home today , Maceroni wa jumping up & amp ; down like crazy",positive,positive
407889,teacher just said i sing too loud .,negative,negative
661788,wish she wa at camp,negative,negative
580458,doh ... I do n't think I followed the direction correctly,negative,negative
11135,well that wa the general idea ! Then found out could only watch football in bar later . Then got call at lunch to meet someone,negative,positive
466530,Wondering why I sat here at my desk and not in the sunshine,negative,negative
1150113,It wa my sissy b-day and we went to chilies,positive,positive
98932,"yeah , they 're testing me for anaemia and some other thing apparently . I 've been dizzy the past few day and being sick",negative,negative
1557107,lol i know i saw your update and i wa like yeah ... i cant keep it a secret anymore hehe,positive,positive
957380,- the guy who oriented u in Benilde took this picture .,positive,positive
1592046,"thanks , it cracked me up too when I first saw his experiment",positive,positive
103376,Pissed the deli downstairs got rid of their tropical iced green tea . I had just gotten addicted to it,negative,negative
1387965,It 's Saturday Morning ! I 'm going back to bed . ( I love my bed ),positive,positive
427695,I lost my Add . Math book Need to rummage the house for it now that my room 's upside down . : S,negative,negative
496557,This project is huge . I 'm ready to be done now,negative,negative
634238,"I asked someone to help me open my soup can , but he told me he just mumbled & quot ; ca n't open her & quot ; .",negative,negative
417692,where did the last 3 hour of my life go,negative,negative
743117,Last weekend of calm before the storm . Feel so tired now that I have stopped for a minute .,negative,negative
886276,hello my dear ! I have n't went to sleep yet,positive,positive
672450,I wish the AI tour wa coming closer to my hometown . I wa n't gon na be able to drive 7 hour for the closest stop,negative,negative
571056,iremember getting 2 ticket on graduation day going home from the club,negative,negative
982220,"Reading some review about webhosting provider , need a good one",positive,positive
1035370,"- Im sure you 'll make it back in time , great to meet you last night",positive,positive
674744,Going to bed . Its been an awful day .,negative,negative
90320,How could I forget ? Arsenal now have the football equivalent of a glass chin,negative,negative
990068,Monday ... I do n't like monday ... but 2day is going to be a good one !,positive,positive
311204,"i try , i try , but it no work . Grr i didnt want to move tonight , but i might have to ! Je suis not happy .",negative,negative
360328,I agree but I love the incline on the treadmill . It really work out my leg muscle I ca n't do that outside not enough hill,negative,positive
297175,ugh i wish i wa with you guy,negative,negative
696709,I 'm up ! I really really wish i had today off,negative,negative
1565674,Well this is just fantastic . On my way to buy the jonas brother cd with ashley ..,positive,positive
974920,Wow that is crazy ! Same go for you,positive,positive
1542729,just got back from walking around gatlinburg with kennedy !,positive,positive
510417,"Nope , no denying it , deffinately ill again Plus laptop is scheduled for on or before 6/7/09 ... hopefully that 's worst case ...",negative,negative
664374,"Rain come on , we need our yard sale !",negative,negative
1218747,hahaha you 're on a role hon haha keep it up,positive,positive
440001,whhhyyy doe it have to be sunday already ! ! that wa quick,negative,negative
1364982,please have a great show ... sad i ca n't see it must live vicariously through others,positive,negative
975694,"ok then I will follow too , thanks I saw the request on the aI board and wanted to respond , so now I can",positive,positive
633986,you 're still laughing and i still have no clue why ! life is rough being a blonde !,negative,negative
1182646,Just finished work so sitting outside enjoying the only bit of sun I 've been able to the last few day,positive,positive
1092473,"Happy birthday for real this time , Kris . Hope you have a great day . The sun is shining over here so hope it is for you too .",positive,positive
1129276,Playing Guitar,positive,positive
272391,Going to try and find my charger,negative,negative
1224178,friday is the calling/alex band day !,positive,positive
568005,i would scream but i 'm working from home so only the cat would hear me,negative,negative
595041,can NOT sleep . n I 'm hungry . ugh,negative,negative
1582388,oh and John Frusciante - The Empyrean wa included in the in-flight entertainment,positive,positive
133451,so bored in class and it only the first day somebody save me ! lol,negative,negative
1370972,LOL How 'd u guess ? Nah ... more my dad . He wa worried about my car like always ! LOL,positive,positive
282380,RIP Hess on 64th & amp ; Taft . You 'll be missed .,negative,negative
894395,war driving at it best,positive,negative
1044631,is n't it nice ?,positive,positive
1053544,"prepped and ready to head to Chelan for the weekend ... relaxation , sun , friend , and good time",positive,positive
1589167,boy i hope more peep would follow me ? thks a lot to everyone who follow me : p i wan na have a cold chocolate drink now ! ! ! mmmm ...,positive,positive
211379,no one want to come with me to your party .,negative,negative
873112,"Here is my problem at this point-No money . I might be able to pull it off for $ 500 . But , thats about $ 474.78 more than I got .",positive,negative
754623,Doubt it . But it 's apparently not a thorough,negative,negative
868475,keep following me TWEETS !,positive,positive
1110063,I have my moment How are you feeling ? you get your cheeseburger ? ?,positive,positive
22293,AM DYING . Dunno what 's wrong with me,negative,negative
561759,My jaw still hurt like mad Just had a lovely rant on bebo lol . Things just annoy me ! !,negative,negative
425018,"just watched & quot ; the Green Mile & quot ; , and cried",negative,positive
511114,"It 's my birthday ! Oh , and I 'm at work",negative,positive
310691,Well after watching the first 20 minute of the Tonight Show with Conan O ' Brien I must say that he ha n't impress me at all ! I miss Leno,negative,negative
548548,OMG my pudding ha to cool for 3 hour ! ! !,negative,negative
723359,"that 's crazy I wa just gon na twitter your twat lol , next yr it gon na be emotional our last lunch day",negative,positive
765584,annet ! It wo n't let me see your video here in the UK !,negative,negative
456834,Wish I wa a Dallas cool kid,negative,negative
1253559,"just finished playing Dance dance revolution haha awesome fun all by yourself , right ? bahaha Watching some tele now !",positive,positive
167688,but then you leave,negative,negative
730654,Happy way belated birthday ! I knew it wa Friday but it kept slipping my mind Hope you had a good one !,negative,positive
1304407,Wan na come over and help with my room jacq i 'll tell you what i know . Erren filled me in,positive,positive
377002,ha no plan for tonight how sad .,negative,negative
386544,i 'm getting sims 3 today ! : S i hope it work ! suck for you it not working what is the problem with the game ?,negative,positive
946988,just chilling at the house,positive,positive
992044,Happy to see on my bank account that I successfully saved almost all the money to finally get my hair extension soon yaaaaaayyyy ! ! \o/,positive,positive
1438015,my ex-bf wa there & gt ; . & gt ; i wa dressed a chun li,positive,positive
236851,"So tired , so much homework to do today .. it 's so nice out too",negative,negative
767547,not in a good mood just want it to be holiday .,negative,negative
194931,I 'm sorry guy I 'm a fucking idiot tgat fell asleep again . Is anyone there ? I tried to stay awake for Natasha . D :,negative,negative
10615,I burned myself on this giant dbl sided flat iron grill @ work ... I wa reaching n nudged it .. long story .. hurt doe,negative,negative
703798,and i need damn XS but they never have it . NEVERRRRRR ... whore on with life ... ill get over it . like i always do .,negative,negative
47518,"poo . if Wired UK is out in the shop , why do n't i have it on my doormat today ? i thought that wa the benefit of subscribing",negative,negative
592959,"Trying to sleep . Need to be rested for diploma tomorrow . However , DYING OF HEAT . Damn me and my life without a fan",negative,negative
536526,Sure is taking a while,negative,negative
442125,fuck there wa a spider in my shoe !,negative,negative
1229580,Prius driver are saving the world .. they are allowed to have one vice no ?,positive,positive
478333,"Unfortunately , I do n't , I do n't really use my Wii , like , ever . Sorry mate . I would help you out if I could , though .",negative,negative
622532,i miss you already,negative,negative
523379,Head hurt today but still pumped about VBS this week ! We r having so much fun ! Working with kid is great . I just miss my baby and hubby,negative,positive
295915,"I tried to add you , but it said OOPS !",negative,negative
1059145,Soz . It 's a really bad habit of mine and I know I should try to stop ... but a I said ... no rule to follow ! Want to teach me ?,positive,negative
1502291,.... it 's a good thing freds window doe n't work because this phone would be on the parkway by now ... GAH ! I can ha Palm pre yet ?,positive,negative
1531059,"need . haircut . now . Home on Friday , ca n't wait !",positive,positive
6186,Going into work ... even though I feel a little nauseous ...,negative,negative
973714,and by naight i mean night,positive,positive
1327825,"you would be hot in a paper sack . Those glass look great on you ! Also , yay for dollhouse renewal !",positive,positive
906726,i know they are delicious.miss germany but like holland a well a we used to shoppin there at weekends.lol,positive,positive
1127744,"- yes , that would be really great , you and Matt Alber performing together",positive,positive
1243863,"Unique , girly small flask are becoming more popular for bridesmaid gift - cute , too",positive,positive
400578,I 've got to get to work ... TayHO,negative,negative
995093,Heard you were working especially hard with some uncooperative item Glad that everything 's going well . Stay safe . Proud of u,positive,positive
613618,"Well , my parsley is no longer organic !",negative,negative
1594068,Hello my Twitter Friends .. Diva stopped by to say have a great day .. I 'll be back later,positive,positive
541632,yes i got it ! where are you oddie ? really miss u,negative,positive
1010221,Good morning . Welcome to Formal Friday . Charity BBQ downtown at 12:00 at the old post office to support relay for life,positive,positive
126508,Hungry . Want to eat hotdog,negative,positive
518528,cheer ( again ) for that - have just sent my cv / covering letter ; this job huntin is getting a bore,negative,positive
189248,"Oh Darn ! the 1st game I downloaded for the PSP did n't work , I had to DOWNLOAD AGAIN !",negative,negative
1094897,"morning sexy , lovely to see you anyway even of it 's brief good day ahead I hope fx",positive,positive
439130,"Damnit - the Royal Garden Party is three day after I go away , so I wo n't be representing TSA",negative,negative
1087243,At a party had a guiness . And now my cobra !,positive,positive
1024359,starting my day early today it so nice outside ! !,positive,positive
746852,yeah they did haha . I got a new hutch and 2 guinea pig for my b'day . Hubby put it on an ant nest tho,negative,positive
311173,No matter how hard I try I always seem to go to bed @ 12 wen will I get back to mi regular sleep pattern,negative,negative
372194,Tummy ache . could this day get any worse ?,negative,negative
850951,"awww hope you recover from it soon i wa ill last week , it wa really bad =/ xx",positive,negative
772805,Blu Mar Ten 's new single out July 13th ? But I ca n't wait that long ... !,negative,positive
670405,ugh it look like a lot of rain tomorrow,negative,negative
526125,apparently if you 're not a mountain biker you 're not part of the & quot ; cool group & quot ; at work,negative,negative
760696,Is still hurtting from the accident ! !,negative,negative
651589,last day of holiday Going to make the most of it !,negative,positive
960888,I 'm pretty good .. diggin your morning tweet so far ! ... always a pleasure to read ... you have any good book I need to buy,positive,positive
1251498,lol that one wish i wa in berlin,positive,positive
1151013,but do n't tell him i forgot the ' e ' at the end . it late and i 'm tired and i still think he 's sexy . muy apology,positive,positive
1136441,I am so stoked for this coming week srsly i wont be in school one day,positive,positive
182530,i cant be there with you ! ! And JJJ is leaving !,negative,negative
1222017,found a Russian girl in the souvenir shop still have some more time,positive,positive
1182829,just got back from the vibe with a surprising ending . + I stole 7 shot glass yeeow !,positive,positive
1202587,i 've already seen the preview & amp ; & amp ; it gewd,positive,positive
596353,"The Tribe score 4 run in the bottom of the 9th to tie the game , but then lose by 1 run in the 11th & amp ; get swept by the Brewers .",negative,negative
258736,Happy Anniversary ! Agreed : Komodo wa SO lame . Baby Chris wa DONE w/ the Zoo before we got a chance to see the butterfly .,negative,positive
446202,need a holiday,negative,negative
373590,I thought earlier that we fixed everything until yurr mom read ourr text ! Now i think were just screweddd !,negative,negative
1035471,is pretty sure that the baby is stealing my oxygen .... only 3 more moth left ! ! ! ohhhhhhh boy,positive,negative
980261,"is going to avoid facebook and make do with twitter instead ... hello , twitter ! you 'll be seeing more of me now from now on !",positive,positive
907366,Do we need a poll to see whom is least comprehensible ? Haha ! !,positive,positive
801797,LOL ! I think he shud get a pic of his taken with the bunny himself now The damn LCR site is alrdy NSFW at work though !,positive,positive
1337579,* This just in * I LIVE with you . You can take them any time . I take your stuff ALL the time,positive,negative
509116,"Could n't sleep last night , could n't drag myself outta bed this morning , really need to tidy up before I leave but do n't wan na move",negative,negative
232677,Very disappointing and sad-now we 're 10th,negative,negative
696864,It is raining really hard and I have a million place to go today,negative,negative
231098,Roller derby came down to a tied game . But the match went to road train roller .,negative,negative
759517,poor jon and kate they filed for divorce yesterday ..,negative,negative
130915,breath-taking .,negative,positive
1161536,no I do n't think u are perfect ! ! ! I just admire how productive and determined you are,positive,positive
26502,only ha one pillowcase . For two pillow .,negative,negative
767293,Cloud Camp sound so awesome ! Then I remember that it 's not about sky cloud,negative,negative
6277,"is in class once again , but is not feeling well today",negative,negative
89162,i have lost my to-do list,negative,negative
675808,ive been sleeping since i got off wasted my day i got off at 2,negative,negative
347937,That 's too bad ( haha more for u : ~ ),negative,positive
1414710,6 or 7 to 2 ! Same people we played last week,positive,positive
928811,Leaving tomorrow at noon to go pick up my big brother ! So excited !,positive,positive
600292,"neglecting my body too much ... need to go to the gym , but i wo n't go ... anyway , congratulation to my girl Leah !",negative,positive
415018,All my son played ! I Loved It ! They were good ! Went 2 playoff I miss it terribly .. we are having a huge game Aug 29 no check,negative,positive
866139,Awww but you had a good night though ?,positive,positive
1220548,hey ! hope the gig went ok ! Brazil ay that must have been frigging awesome !,positive,positive
45538,"what a day ! ! bought everything I need ( have n't found the book though ) , ahh the final exam is around the damn corner ... sad",negative,negative
907139,thanks ! ! I definitely will ! The next season will be rainy and it come in two month 's time ! !,positive,positive
599367,25 % of men in SA admit to rape . I think I 'm going to be ill .,negative,negative
696528,no pic here probably a good thing considering I had just dumped water on myself .,negative,positive
991088,It 's Monday . Looking forward to it .,positive,positive
857006,"Not to worry , noone got that one . Next question start in 1 minute , get your thinking cap on",positive,positive
460928,"Had far too much wine , which ha lost me a chunk of the day",negative,negative
1551629,"Nope , not yet . I just got home . I 'll try tonight ! * is lazy * After I have a lot of coffee .",positive,positive
498119,Working hard on my animation but i need voice actor,negative,positive
1510235,"you sure you ddint do that on purpose ? I mean , there is a new one coming out this week !",positive,positive
1208474,beat me . I know where 33 life though .,positive,negative
769671,I wish I had coupon like buy one get one entree at TGIF but the coupon expired on Monday Anybody have any good coupon ?,negative,negative
443858,is very cold here,negative,negative
587814,"K I give in , massage therapy for my hip or I wo n't be able to run in the underwear affaie run last night wa bad",negative,negative
129581,ha had a horrible day at work,negative,negative
1599205,"Laker Parade tomorrow . Should I go and cause mayhem and destruction ? Not really , I 'd just boo a lot .",positive,negative
1506167,Had a very interesting day . Note to self : Slap people who tease you,positive,positive
1260200,going to bed early to catch up on sleeep .. goodnight twitter,positive,positive
1486056,Hard luck to Meath today against the Dubs .. Hopefully the backdoor will stay open for the summer,positive,negative
326993,I baked cooky to make the bad day go away but it did n't work,negative,negative
990530,a put your foot up . There is always tomorrow,positive,positive
1399197,Ezra look so much better today,positive,positive
382590,ca n't sleep .. & amp ; i missed 2 call from one of my favorite mexican .. damn it ... i am UPSET that i slept on my phone and could n't hear it,negative,negative
180417,Gah ! Mtn Dew website say & quot ; pending verification & quot ; for the big prize ! I want to know that I did n't win plzkthx .,negative,negative
697722,take that tomorrow so excited ! Hopefully it doe n't rain,negative,positive
658374,"I 'm watching Clean House . I miss Necie , some new girl 's subbing for her .",negative,negative
526791,"it 's crazy how u feel abt a death when u dun think u kno the person , it crazier how u feel when u find out u actually kne them",negative,negative
711202,wish would reply shes so awesome ! !,negative,positive
58844,I am really slow ! And I ca n't talk while jogging since I need to catch my breath What is a Nike+ Kit for iPod ?,negative,negative
1029060,"ok , Im new on it but I 'll write about it .... though my blog is not related 2 this .... I 'll figure out",positive,positive
1575230,still in euphoria from the event that transpired from 3:00 pm 6/12/09 until 5:45 am 6/15/09,positive,positive
1391190,"say The answer is maybe , and that 's final . Hunger .",positive,negative
722107,I hate father 's day,negative,negative
973988,"glad you 're alright , I thought it wa kind of funny how you all just did a combo",positive,positive
102589,Locked in the hallway at work . Stupid work building layout !,negative,negative
1149599,at nana 's house ! watching ouran . hahaha listening to nana 's laughter . and i went bowling toay ! and suprisingly won ! yay ! ! lol,positive,positive
877909,I liked Hotel For Dogs alot . 4.0 out of 5.0 A very warm hearted movie with some good comedic moment .,positive,positive
403585,"Please , just leave me to my own misery .",negative,negative
357374,I got two drippy kid and miss throat thats on fire,negative,negative
457368,I agree . I think he really doe !,negative,positive
777525,watched Transformers and thought it wa horrible -,negative,negative
641840,just found out she is working this Sat .,negative,negative
694462,"I know poor Leighton , she should have burned that tape at the first glimpse of stardom she had .",negative,negative
339654,the api is pretty useful a well . First time i used it I had to write my own ! ! ! load easier to use with HTML opposed to flash,negative,positive
410869,I 'm not sure I like how I look in HD,negative,negative
671569,I do n't know him .,negative,negative
8550,Can only really see my own update with a only a couple of others getting thro,negative,negative
287550,tomorrow i prepare to fail I do n't understand any of it ca n't wait until it ok though,negative,negative
1408038,"i 've just noticed you followed tom already , are you sure he 's the real tom ?",positive,negative
138404,party is over but i had a great time,negative,positive
1261678,Thank you . It feel great to get some energy out of the system . The shoulder is tight ...,positive,positive
232075,Has just broken her bass AND her keyboard at the same time,negative,negative
789265,I realized yesterday that i do the same thing a Roula 's fiance ( from 104.1 morning show ) but he just got laid off .,negative,negative
937583,It 's almost bedtime again . G'night everyone .,positive,positive
971554,it 's monday ! !,positive,positive
216157,"I ' in the most complicated situation ever haha , probably going to have no friend after this",negative,negative
894666,wow it 's gon na be a late one then . Hope you have a good time,positive,positive
735666,ohhhhhhhhhhhh I do n't know I should cease these sleepless night ...,negative,negative
1092364,"Seen Metallica live ? tell me about it if u have ! Butterfly Effect is one of my fav movie , u were great ! ! check it out yaall !",positive,positive
1555364,lol Did I just thought that LVATT wa LWATT ? I think so lol,positive,positive
289443,ha much work to do n very little time to party boo,negative,negative
1529036,next time you are in kansa city hit me up and i will let you make one for me ...,positive,positive
522589,Trying to listen to your show online but nothing is happening,negative,negative
661144,Had a shit day tbh . Hopefully tomorrow will be better . Though work say it wo n't be .,negative,negative
1516577,look like a nice one ~ thanks for letting u know . your work look great,positive,positive
476337,that 's too bad ...,negative,negative
1175851,But I 've figured out plan 2,positive,positive
306877,"Sitting at Home Sad , My grandpa just died today",negative,negative
37732,Big rain in Kailua town . Do n't mind slogging through ankle-deep puddle but could do without splash from speeding car on Hamakua .,negative,negative
1402133,Diet pepsi is so delish after a night of drinking ..,positive,positive
574421,Begin boarding in 30m for OKC - I 'm tired,negative,negative
375121,"* Sob * I got 1,001 update and you do n't even care",negative,negative
750667,"I had a 3G , with dev 3.0 , bought a 3GS with 3.0 , tried to upgrade my 3G from dev 3.0 to 3.0 , now it 's bricked .",negative,negative
84357,well ood morning ! well not a good mornin for me ! i think i made a mistake,negative,negative
156231,Lonely . I do n't get to see my love for at least 3 month . He left today . I wanted to spend every hour with him . I could n't .,negative,negative
818424,enjoy too .. I think all the shopping ha affected my typing,positive,positive
948411,"thats okay I 'm fine , do n't need any list of what doe and what doe n't",positive,positive
261390,I need help packing ! ! ! ugh we have accumulated too much stuff ! ! ! ! !,negative,negative
1398380,LH458 seems to be packed with Mac developer . wwdc,positive,positive
86731,"ball , I seem to be missing F1 lookingatpaintcoloursagain",negative,negative
1142037,it 's the thought that count,positive,positive
175605,nothing to do,negative,negative
387103,Overslept I missed my bike ride,negative,negative
1264574,"homework is kind of awful , im not enjoying myself . fortunatly for me , miley 's the climb cheer me right up ( L )",positive,negative
217325,Ugh ! My video call is over,negative,negative
732919,oh men ... my guitar pick is lost,negative,negative
660931,"You 'll be great , Trevor , just like you were here . It totally suck for u , though .",negative,negative
1173261,"Back from a great lunch with hubby 's family . I loaned Let the Right One In to my sister in law , Mili . Over lunch , she interviewed me .",positive,positive
1454928,i found it hugely funny ! would appreciate you heading over to swindon sometime for a gig,positive,positive
310529,grrrr ... I ca n't change my profile pic . Anyone else having this problem,negative,negative
1431510,"This is really weird , seeing a tweet from another Yourdon . I thought there wa only one of u on Twitter ...",positive,positive
398580,on break . five hour to go .,negative,negative
1343323,A where have you been hiding all day ? Thanks for the FF shout-out,positive,positive
57880,"aaawh , Dean and Alex on Wizards .",negative,positive
1595064,"Vistited an Agency this morning and a Museum this afternoon . Noooow , Im at school trying to get some work done with the Germans",positive,positive
773833,that 's even more sad I 'm good and congrats ! dude do you have any messangers ?,negative,positive
115578,"Nope i guess that they are doing it other month or later , but they changed it for Chile waa i am so sad ! ! !",negative,negative
565372,I miss home If only Friday could come sooner .,negative,negative
802083,I could survive ...,positive,negative
1114721,i thought it wa * CONFIZZLED * Oh wellz ! you still knew where i wa coming from !,positive,positive
483920,Just dropped sister ( ) at the airport . Very sad she had to leave,negative,negative
265584,Ciara are you gon na tell u whats going on ? is 'like a suregon & quot ; coming before & quot ; Work & quot ; i really want & quot ; Work & quot ; to come,negative,positive
24767,ha a stupid paper to write today,negative,negative
505494,last night in KY,negative,positive
550776,Pumped for the Soccer tonight . Go Aussie ! Pity Harry 's not playing though,negative,positive
