ID,text,label
6731,@forsoothed  if i had it my way id spell it wensday but unfortunatly im not a roman emperor/viking god..so i have no say in the matter,negative
2746287,about to get a good hours sleep,positive
2490056,i m wonderful thanks sent the email,positive
1143149,is watching the da vinci code with cousin daniel,positive
570824,In the mountains for the day.....no service,negative
2299604,waited for davetoday but he snuck out the secret entrance and elevator,negative
2602103,i actually got abt hr so good so how d the relaxing work out for ya,positive
1925623,i m going to need a new pair of hands by the end of preliminary geez this homework and essays will be the death of me save me,negative
2607215,google wave looks awesome i m enjoying the stick figure diagrams,positive
2975896,ok ttyl i ll be going to bed here soon almost midnight good night and good luck tomorrow,positive
1136140,"@livefreeortour ahhh I'm sorry I was creeping on your tweet,hahaha I WANT ONE,hahaha it looks cute",positive
2004812,just lost cause i spelled trek wrong,negative
2856193,that definition would fit me nicely,positive
1558273,"@pi2dn11 it's really good all I buy is organic now, what I do is try to find everything I do like but organic. I get creative with it!",positive
1628061,for some reason when i woke up this morning my allergies were horrible i now finally got back my sense of smell,negative
284280,Forgot to deactivate my Fw CS4 to add my serial. Today it wouldn't launch since it expired. Winding the clock back was the only solution.,negative
2512273,foldn some laundry what a sat nite lol its allll good as long as im w essssssex,positive
602975,Can't find someone to work 3-7 for me so I can see my son graduate 5th grade.,negative
2746502,i could do that,positive
549117,@malizzle303 Hunter and his friends.  Hunter and Ben sat right behind us and bothered us the whole time,negative
81308,I want to read but i know i will fall asleep if i do.,negative
565029,#amazon #fail I decided to buy some mp3 downloads from @amazonmp3 this morning with a gift certificate. It just charged me without asking,negative
2726445,you could always cultivate your inner super geek and do music,positive
1308273,I had fun with you two ladies today... Glad you guys could make it.  thanks for coming.,positive
1851449,i m sad too i m definitely going to buy the season tho,negative
2051981,teething has been awake most of the might she s lucky she s cute,negative
1249240,even though i have shaved my head guess what you can still donate,positive
1801826,ouch i don t like it,negative
819353,@weshotthemoon thanks for following,positive
1157029,@MizsYounique wasup baby gurl!,positive
1763134,gprof problem on mac why,negative
675529,"@erikaxolovex3 awhh  i only have a little sister, and she adores me, so i'm not used to itt.",negative
1279401,@displacedmoose Hi...yeah. It was a good turnout. Town was busy so I don't blame you about the parking,positive
1539782,only 6 more until 200  yay,positive
2304733,when tom coming on i wanna talk to a friend and sadie and stacey are busy,negative
119407,I love how NO ONE wants to hire me.,negative
3093671,i forgot that adam brody has a guest spot on gilmore girls i am geeking out right now,positive
2982874,i love you anum ali dosanali ur my princesss,positive
2328493,ed mcmahon is dead unfortunately i am correct sir,negative
8541,@jedijon  Rob Thomas &amp; Prince best male!! Female.. Don't really have a fav,negative
2133112,i soooo crush barry watson during those days good u zerogravity isn t played in manila s radio stations yet,negative
255817,My point of veiw. Yes Im looking at his ass. watching Chris fix Rammy. Poor Rammy.  Get well soon. http://sml.vg/www0h8,negative
1407821,@SiscoDaGod Cool....never been though! Maybe one of these days!!,positive
1112163,@minglequeen like a proper poolboy by now...,positive
2718031,lots of advances in treating ttts since our girls were born,positive
2623983,great tips i m always looking for ideas to blog about so both of those will be helpful thanks,positive
139049,@gypsychild They banned jeans on Fridays this year,negative
470957,Reaaalllyyyy want to go to cornwall,negative
2301894,watching a rerun of jon amp kate agh what a sad story there fame and money,negative
615106,I. HAVE. ENOUGH. OF. BRITISH. LITERATURE,negative
786228,Don't know what to do today,negative
1821837,is hoping that the girls he just hangout with don t think he is a freak,negative
425615,Having issues charging my phone. Using Pastor Abel's laptop that had gone to sleep and took the charge away,negative
1362990,thinking about how cool it would be to have a ball pit in my room. like at mcdonald's but much cleaner,positive
612102,Last night sucked...,negative
446121,Somebody wont stop hitting and screaming!!!!,negative
927539,Watching Valkyrie now. Not bad for a start.,positive
195181,@nmseq he dont have any twitter account.,negative
460134,"@steph789 I WAS AWAKE AT MIDNIGHT YOUR TIME, SO I CALLED YOU, AND YOU DIDN'T ANSWER! sad day",negative
466096,@DonnieWahlberg is what I'm reading correct?? NKOTB have cancelled to OZ tour?? please tell me it's not true,negative
2157001,is not fair i want to see you too but i cant cause im from argentina anyway i love you demi,negative
2181994,gak tau ninku semuanya bandel i m totally losing my soul,negative
1232537,So my boss didn't show up for work today... Instead of calling him my co workers and I decided to take the day off  ha ha,positive
1020437,@choose2befit enjoy is certainly a relative term when it comes 2 p90x  training 4 an ironman was easier than working out w/ @Tony_Horton,positive
2498891,dick in a box gonna dl lonely island,positive
1492158,@CCArquette hey! Cougar town looks really good  do you know if it will be coming to England? Thought dirt was amazing by the way! Jen x,positive
1330164,@prblog @steverubel posterous looks like tumblr for iPhone? looks interesting. can you fold this content .. http://tr.im/nhcv,positive
448573,Im off to bed now school tomorrow,negative
769199,@Mattit_TOFY My furniture is white. I think I'll consider yellow! I have a yucky cold grayish wallpaper on the walls right now.,negative
2735259,anyone interested with my st ebook in lulu com only,positive
2496617,ok i m cool now,positive
1842656,i wish i live in usa,negative
731744,Finally reading the chapters for my exam tomorrow - 1 down 9 to go.,negative
2662241,i just saw your i m sorry anyway don t be jealous of my lifestyle you ll have it one day,positive
521036,It can haz be wednesday afternoon plz?,negative
281870,I wanna Go biking but I don't have a bike  lollllll,negative
1896723,wishing i could do the drumming add much,negative
2912931,the drama in august rush is a bit over the top but its got great music none the less cant help but hum its tunes once the movie ends,positive
2469592,beto s pizzeria is on banksville rd in i believe the beachview area sorry to answer like years later,positive
1054585,"wow @ bing.com, exciting",positive
2849259,i was a little while ago lmao lt,positive
188923,I tried the best I could to make baby cheer up but nothing seems to be working,negative
936723,"@KimSherrell I've been really great thanks, shedding the stress of corp life, now working freelance and its beautiful  and you ?",positive
2194997,in va until saturday than here i come nc back to pa on monday,negative
3037721,had a fun filled night,positive
459069,I'm keeping that beard forever.,negative
2732890,wow you are a busy guy,positive
2266142,oh no hope your ok i should be on my way right now but my mums taking forever to pick me up,negative
2195603,thanks so much i think these are usually card specific though bummer because they never send them to me anymore,negative
2935503,okay but do not be sad because today is day of the party,positive
953885,Night Tweeties,positive
2545825,keeps forgetting i m on twitter wow we have a lot to catch up on guys,positive
1604728,i was gonna go dig up some stumps yesterday then it snowed after a month of degree temps it s back to s and snow,negative
2403623,im good too i like gettin hyper ahhhhhhhh,positive
3051623,loving the rain lt,positive
2778918,let s start tweeting,positive
594010,i'm like all sleepy at the ofc now.,negative
348020,I'm pretty sure my stomach has waged war against me.,negative
1901127,just woke up from do awful dream now i cant get back to sleep,negative
2675807,oh yes i am i have sent you proof of that,positive
1689224,ok i m exhausted i need to sleep back to work tomorrow i m pouting talk to you latah good knight,negative
429116,@ciara_sherry no fair....  I need to cinema quickly- gotta see Transformers 2!,negative
2333127,lt mean amp vicious gt,negative
2156272,oops i meant monday,negative
1096527,is sure that Archie will eventually leave Veronica and run back to the waiting arms of Betty,positive
10629,On my way 2 work. Raining here in k.c  guess my k.c twiggs know that. Lol 8 days till I'm 30 wtf!,negative
817596,@shanealexander I think i'm falling in love with you!!  xxx #iloveyou,positive
475169,@OntarioDdubfan I've been good.  How are you?  I just wish that I was closer   Have I missed anything??,negative
2733944,way to twitter during service and nice job on them keys today,positive
260775,it really sucks that just watching my favorite show makes me miss her and I being best friends. im heidi and she's lauren,negative
19193,No one's following me!,negative
1597723,"@roseisroadkill one of the reason.maybe.haha.actually, i'm so tired today :3 .how are you and Jared?",positive
1241278,@WeWereDamsels I will do that... Thanks,positive
1528642,@coco614 Nope.  Read the ? again.,positive
427488,@toodamnninja isn't it a miserable day? Hope your mood improves ...,negative
2865897,lol i know that guy and i cant believe you haven t been following her geez abbey where have you been for the last century,positive
1638824,i m sorry for you guys remember i think of you,negative
643912,@ShapeThrower nope  seems they don't ship them with nitrous oxide...,negative
1712747,time is going realy quick today x,negative
270410,"@monochromefilm guhhh ikr   if you ever read seychelles profile, it says shes just some simple country girl... ^__^ like that resembles",negative
921855,"@amazondotjon http://twitpic.com/4vzwn - Awwwwww!!!! Cuutteeeeeeeeeeeee  I have a black cat, her name is Betty. Whooa Black Betty xD",positive
489739,@susanstripling last week drove 6 in 50 mins inLondon,negative
618128,i only have 36 minutes left on the internet  ill speed type.,negative
1553447,@RainboKid haha... My birthday is in 21 days,positive
2646541,dont feel sad youre so lucky with your great family and you amazing friends so try to smile love you lt,positive
2855174,what a month of may i m totally spent nothing left in the tank i can t believe i survived ok back to work tomorrow,positive
2660018,i m having a kometi with joy and my sakops and watching kmjs,positive
2207287,too tired to function,negative
1823690,awww that was silly now wasnt it,negative
1690418,just talked to my mom on the phone for hours and is currently a little homesick,negative
732243,Can't sleep... Too much on my mind,negative
644946,@maxrandall no unfortunately not. Too much cleaning to do  ...,negative
2997647,love is what makes you smile when you re tired,positive
721112,@ExPrincess Too far.,negative
119419,"Is really not feeling the london weather tbh, I want to go on holiday ahhh",negative
1196418,@NelsonAspen thanks buddy,positive
3024341,that sounds like a corollary to murphy s law,positive
860659,@vap0rz Thanks man; I'll be thinking of you guys,positive
1890985,i still have to finish my pre cal not fun,negative
1858377,oh really i ll have to give it a try but i think i ll be too late to stop this year s delivery,negative
218937,just got home from the movie it was great altough it made me sad that rexy didnt appear much  but oh well it was cooooooooooool,negative
376577,I'm really hoping that the military didn't take my baby's care package because they knew food was in it.,negative
2953414,back from nottingham so proud of the driving now absolutely shattered going to spend the night writing my life away x,positive
623418,@wintersleep Have a great show tonight. I really wish that I could be there.,negative
496781,"ugh, i missed almost an hour of raw, when it was in north carolina",negative
802800,@mswilliamsmusic  Hope ur having a great night hun n that ur feeling better.,positive
168619,Yeah. It's sad.,negative
1102087,"@cassandra2603 haha They did seem have a different accent  *glares* .  and yeah, I wanna know what they would have said if I had said yes.",positive
2347408,fuckgfw google and gmail still down here in chengdu can access google cn as before,negative
151935,i miss working at custo barcelona....the free clothes the great people and the xtra money.....,negative
2952241,baby ducks are really cute patience is a virtue some of us have to work saturday,positive
561101,"I love Dewey from Malcolm in the Middle, he played Fuzzy in Cider House Rules; he died",negative
2879680,a little or large inspiration this is lovely,positive
271639,@chrissiewunna  oh babe! you mustve had a long day,negative
2675876,still waiting on some music,positive
2876709,good morning right on i sure hope ur ready lol isn t the concert tomorrow i play the drums to but i play djembe ones,positive
1256568,This is fun!,positive
77486,"@salandpepper ...or even just Peter, I know",negative
496754,I really don't even know what todo.,negative
271683,Bellvue has a lot of crazy people... Most of them work for au bon pain  YIKES!!!,negative
2015141,day to alaska did a short day and stopped in lethbridge ab rained almost all day snowing in banff will probably skip on way up,negative
2607754,also got spongebob smarty pants shirt frm ilford yay,positive
404736,@SupernovaGirl the nearest is pretty far away.  but...perhaps after the summer. perhaps.,negative
866497,"is headed to the bedroom to watch TV and chill with the hubby for the night. God bless and rest easy, folks.",positive
1432906,@sharpestpencil renovations are one of the biggest causes of divorce - chill pill and a glass of wine,positive
1443233,"@Shawna311 Totally agree!! Jess Alba should have been top 5 at least! I'd like to rearrange that list a little, haha",positive
611470,@ronij1 Didn't know Lemon was your fav. These are awesome too! Sorry!,negative
1036082,@GuitarLove08 Goodnight!!!,positive
396417,"@LiiL_MisZ_Chaos .... i cant speak to youu, you told me to Shut up!",negative
2037420,miley i miss my uncle right now he s in iraq fighting,negative
1424505,"mmm, strawberries and blueberries with strawberry ice cream. tasty.",positive
1367116,@merylincise same here. where you going?,positive
1227019,@cad1976 Mt. Vernon should be in the upper 70s and very sunny! Near 80 tomorrow and Wednesday!,positive
1087489,"@SunnyBuns no, not at all. I've enjoyed are intresting (to say the least) conversations.  #notastalker",positive
3088436,lmao be nice,positive
905727,Reminising on such a wonderful day yesterday with my family and my love.  Nothing like shooting some basketball with the men in my life,positive
2764121,no i haven t but i just went to youtube and omg it s so cute and the piglet it s super adorable,positive
1786241,my eldest son s ni number has just arrived in the post he s growing up and i hate it,negative
219073,my tummy hurts,negative
1502540,@sgtshefish Lakers fan like my hubby,positive
781118,acquaintance party tomorrow: postponed. aw,negative
2452875,just watched amp commented your video that was awesome how long have you been dancing for,positive
395315,What hurts the most by rascall flats is my life captured in a song,negative
808827,Stayed home w/mom and the kids today (Spring Break)...What a nice cool day for FL this time of year 52?  41 for a low tonight in April?,positive
51237,@KrystynC I love THe Game like seriously.  They won't know until May 2o something as of whether it's being taken off.  I will be crushed,negative
2895707,i m having my clothes dryer repaired right now by appliance repair received a big discount bc i scheduled appt online,positive
1602080,hoping i can fall asleep after watching knowing definitely wasn t national treasure,negative
2780983,that s the best thing to hear on a monday morning,positive
2468183,shopping tomorrow i think yes,positive
1691015,well i know you love him n everything n he s beastly lol n fml ima be so lonelyyy,negative
1442699,MY 2000th update! i dedicate this to @davidarchie @tomfelton &amp; to my bestbud @lynaarchuleta,positive
2439958,reading my new magazine that the jonas brothers are on the cover of,positive
475616,Jus pickd up my prescription. My neck feels like its about to give  First for a spot of lunch wiv @IreneAgbontaen befr I start popin pills,negative
2748243,we re so jealous,positive
1503854,Playing Sonic Blast,positive
912438,@Clara_miss my best friend won tickets to see them from kiis fm!,positive
2815063,okay hehe just know i loves you tho,positive
1438339,Still tired from yesterday! About to cuddle up with my babies and make it a movie night...,positive
2127547,shut up im ready for trip but at least i get to see beyonce next weekend lol,negative
56611,: really not looking forward to taking two 4 hour online A&amp;P tests tomorrow,negative
2867691,goood morning twittz i m in an extremely good mood heading to the gym with my doll nessa,positive
1942978,just read your mom s blog re same i want to reach thru the wires and just hug the hell out of all of ya esp your sis,negative
2081120,bummed out that i didn t get picked in nyc marathon lottery,negative
1063711,@google Watched the full google wave demo video a couple of minutes ago... i'm impressed!,positive
2974469,thai cafe on westwood blvd has good rice,positive
722048,agh the pain... me thinks my wisdoms are coming in,negative
1847057,i know i almost cried it doesn t help that i have leather seats stupid nashville i ranted about it on my blog lol,negative
1681965,yeah trying to recover my jap series from my corrupt hard drive,negative
2470103,gotta go drive my dad around today but i ll be back this afternoon,positive
1126988,"@Warlach  Make sure you tell her that, and often.",positive
1628578,sitting bored in my house,negative
1264787,Im fixing supper. My husband just got in from work not too long ago. Im hungry,positive
2455518,shower then new hm and sonnywithachance episodes then bed,positive
1654594,sometimes watching movies online sucks waiting for them to load can be a bitch,negative
919380,Who's going out tonight? I want to go out  xxx,positive
922971,"yeeeeeeeeeeeeahhhh jenson win, brawn one two, what a sunday!!!!!",positive
2505335,that s awesome jackie jack of all trades,positive
1910143,trying to get ahead of my work schedule so i am not so behind when i get back from wisconsin i don t think it is working,negative
2864771,do your gaant chart because it contributes to the mark of it all wont take long promise,positive
1779408,me too im so sad right now,negative
1666246,my faith has grown my future is promised my family is protected my foundation is him my reactions will show my faith level zorras no,negative
1663871,we won t be able to watch it then so out of order x,negative
1110596,is going to get all 3 said it all singles  just for the nice cover sleeve to hold them in  yeh i am cool. do not lie!,positive
3017910,comma splicing is just the sign of being a real writer you re aiming for poetic flair instead of perfect english grammar,positive
1764858,lol girl i cannot stop i am a student i can t afford a pop eyeshadows but i am so hooked,negative
455525,Why does meatloaf take so long to cook? If jeni were around she'd blame the communists,negative
293203,BRB! Gotta finish my project!  I'll be back later!,negative
1571410,@CocaBaby305 awwww thank you girl... We'll get up,positive
1851243,sorry to hear that girl,negative
313783,"too bad, mitchel mussos's album didnt come out in Estonia .  and i didn't see the Lil'Wayne's album neither. :S saaad.",negative
1087700,"Had an awesome time @ Becca'sss &lt;3 Totes c my future as an audiobook reader! Haha, gr8 JB fanfics, but I made them SPECTACULAR!!! lolzzz",positive
2255835,i totally just entered a silent auction to win jonas brothers tickets i m so cool i probably won t win though sad face,negative
130396,Feelin slighty crap today..,negative
571711,uggghhh having trouble getting his music from his old shitty computer to his new macbook  can anyone help?,negative
1592588,Instead i'm gonna go to the doctor's office w/my g-ma,positive
2335187,i just got smoke in my eye,negative
990118,"@undercoverginny *hug hug hug x a gazillion* love you too  So excited that when I come back, I'll have a you!",positive
191568,@XanDH hmmm I might go pvp some peeps just for a laugh or sort feral gear out,negative
2633277,very quiet a little sad but my goal is to get lots of rest they re at a father son campout,positive
2692688,yeeeaaayuuuhhhh magic are going to the finals,positive
112398,@Panda1984 woo hoo! Have discovered im a bit sad.nobody watches eurovision any more!,negative
1735539,i need to study,negative
1634164,i need ppl to text me with there numbers i lost al mine booo i hate painting garden furniture,negative
2948088,thanks for the follow friday hope you are having a good weekend,positive
1582237,at lunch with kbr! yumm,positive
2297814,misses his girlfriend o o,negative
2772325,it s difficult to get used to,positive
2230266,i don t know what to do with research,negative
1053533,"http://is.gd/Jb03 Gary Numan guest programs Rage Saturday night. No Aphex Twin or Squarepusher like EVERY other guest, THANK EFFING GOD!",positive
1385204,@janet_rosie I thought he was good in Notting Hill which I just watched. I'd probably have a preference for Liz Hurley rather than Hugh,positive
1620586,says my poker ranking is going so so down,negative
2630059,thanks the ff,positive
1514718,@detlef_c  ah is it? It means Bengali Day,positive
137523,this is not my place,negative
2570295,pah my parents i aspre to be far greater than they ever were,positive
153926,noooo  i've forgotten how to play 7 things on the guitar... it's been a while.,negative
170078,@mechellelewis Are you shattered after that long week?  Thats a pity about tomorrow night,negative
32144,Sitting at computer and kinda bored doing a bit of science case study,negative
3005730,alrite time for bed now tired goodnite tweeties,positive
899284,"Monday, not going to work. Closing my door going to finish my assignments. @savitarani goodmorn  @d33pak opportunity to get a Blackberry",positive
2050063,tweetdeck minimise to tray rip,negative
2483951,attack of the killer swales i missed you signe bbq tonight ncis tonight,positive
1913763,i hope i don t have mononukleose i ll go to my doctor if i don t feel better,negative
1873491,while you re here what is the password for your channel i cant find it again,negative
323098,"At home after 4h of training with hills, need to rest now...  I miss my wife....",negative
2997873,got a email from my wife that she stays at her parents house tonight yeah i m single for tonight yatta,positive
343335,"my little brother is going to be in junior high next school year. he's growing up so fast, i want it to stop",negative
1765880,i hate not bringing my ipod to school,negative
2962562,wow you just opened urself for some interesting tweets back have fun reading those,positive
944196,@peacePEACEout thanks,positive
772080,@MeiMei_SungBuhh Can't you try to come back? We really do miss you and your hands,negative
1025188,@damn I mean the FantasyFootball not @boardofshame,positive
1938961,is very worried about taytay he s sick i hope he gets well amp feel better amp back to his old self very soon,negative
1696684,i gain and lose about followers a day darn bots i m living for the day that i ll be followed by a real person,negative
2712659,can t stop looking at the pics he s soooo damn hot faints,positive
1690263,the weekend is over sad,negative
1481787,"@valberg1 =D No Problem, they'll miss you really, they just dont wanna admit it",positive
124718,"Why is every lockable postgrad desk not available until next year? *head thumps on desk, ever so ungently*",negative
2599383,must have been quite an experience would love to do a climb like that if i were in any sort of shape,positive
1056232,@CherylHarrison Everyone in Grandview is great.,positive
2027262,lmfao t pains quot big ass chain quot i could do so much with k,negative
2120354,aww that s so unfair well theirs always that offer of a male stripper but i think we ll have to hide his guns first,negative
1051835,"Internets been a bitch all day, tis all well now though",positive
2049803,quite disappointed there was not storm last night,negative
1787537,i want to watch showgirls again oh well sleepy time goodnight twiggas lol thx bean i love that word,negative
1906458,oh no i just lost a lovely vintage telephone still trying for another,negative
245152,@clairabellejp Just got over a (very) slight cold. Smoke can get my laryngitis off if a bit run down,negative
2707458,the sorcerer s apprentice with background blackbird is somehow absolutely perfect,positive
2613584,love fool the cardigans,positive
1466608,@AmyDollface Hope you get better soon  x,positive
558090,Waiting for the OS 3.0 update for my iPhone. But I guess it wont be available for a few hours..  #iPhone #apple,negative
248536,i have what is quite possibly the most boring bedtime reading ever,negative
3108268,lol ice cream is happy food hope that scoop makes you a little happier,positive
1903287,feelin better still wish i was home tho got more hours,negative
2079449,so irritating i m trying to remember a song based on the music video and all i remember is a white room and a saxophone,negative
2986328,day no bars great night at and playing rockband and etc thanks you guys next time we ll bring beer,positive
1389533,very nearly wedding time!!,positive
549086,@GaryWGliddon Unfortunately it was updating content in our own system...,negative
1257558,@lilyroseallen he say this about you but i'm sure he is sweaty EVERYDAY   ki$$,positive
2200406,is sitting in the atlanta airport waiting on a delayed flight,negative
964463,Just made a HUGE airsoft order! I canny wait for it to arrive!,positive
2900885,baseball this weekend i hope we win doubt it though,positive
1359991,@JeanneCant I'm excited about it,positive
418391,I'm bawling my eyes out while watching Titanic. I've seen this movie 100+ times. I'll never let go.,negative
747008,"@GeminiAngel24 I am, but it's going back to Apple",negative
